Property Title,Property Description,Annual Rent,Contact Phone
Top Floor Self Contain," ₦ 1,200,000/year "," ₦ 1,200,000/year ",08124269637
Blocks Of Flats," ₦ 48,000,000/year "," ₦ 48,000,000/year ",08135540360
Fully Furnished 3 Bedroom Apartment + A Bq," ₦ 30,000,000/year "," ₦ 30,000,000/year ",09067442944
Self Serviced 3 Bedroom Apartment + Bq," ₦ 5,000,000/year "," ₦ 5,000,000/year ",09067442944
Spacious 3 Bedroom Flat," ₦ 2,500,000/year "," ₦ 2,500,000/year ",09067442944
Fully Serviced Shared Apartment With 24hrs Electricity," ₦ 950,000/year "," ₦ 950,000/year ",08135540360
Brand New 4 Bedroom Terrace Duplex," ₦ 18,000,000/year "," ₦ 18,000,000/year ",07033663555
Newly Built 4 Bedroom Terrace Duplex With Bq," ₦ 13,000,000/year "," ₦ 13,000,000/year ",08144417520
Fully Furnished 3 Bedroom Block Of Flat," ₦ 17,000,000/year "," ₦ 17,000,000/year ",08144417520
Well Renovated 3 Bedroom Block Of Flats," ₦ 8,000,000/year "," ₦ 8,000,000/year ",08144417520
4 Bedroom Flat With Bq," ₦ 6,500,000/year "," ₦ 6,500,000/year ",08124269637
4 Bedroom Semi Detached Duplex," ₦ 13,000,000/year "," ₦ 13,000,000/year ",08144417520
Under Renovation 4 Bedroom Semi Detached Duplex," ₦ 7,000,000/year "," ₦ 7,000,000/year ",08144417520
2 Bedroom Apartment," ₦ 8,000,000/year "," ₦ 8,000,000/year ",08144417520
Furnished 5 Bedroom Mansion + 2 Room Bq," ₦ 40,000,000/year "," ₦ 40,000,000/year ",08144417520
Well Renovated 3 Bedroom Block Of Flat," ₦ 15,000,000/year "," ₦ 15,000,000/year ",08144417520
Block Of Furnished 3 Bedroom Flats," ₦ 30,000,000/year "," ₦ 30,000,000/year ",08144417520
Brand New 4 Bedroom Semi Detached Duplex," ₦ 15,000,000/year "," ₦ 15,000,000/year ",08144417520
Fully Furnished 3 Bedroom Terrace Duplex With 1room Bq," ₦ 15,000,000/year "," ₦ 15,000,000/year ",08144417520
Under Renovation 2 Units Of 6 Bedroom Mansion," ₦ 70,000,000/year "," ₦ 70,000,000/year ",08144417520
2 Bedroom Apartment," ₦ 1,500,000/year "," ₦ 1,500,000/year ",08144417520
Well Renovated 3 Bedroom Flat," ₦ 4,500,000/year "," ₦ 4,500,000/year ",08144417520
3 Bedroom Flat," ₦ 10,000,000/year "," ₦ 10,000,000/year ",08023458806
New 6 Bedroom Mansion + 1 Room Guesthouse," ₦ 45,000,000/year "," ₦ 45,000,000/year ",08144417520
5 Bedroom Semi Detached Duplex With Bq," ₦ 25,000,000/year "," ₦ 25,000,000/year ",08144417520
Furnished 4 Bedroom Terraced Duplex + 1 Room Bq," ₦ 20,000,000/year "," ₦ 20,000,000/year ",08144417520
Brand New 5 Bedroom Semi Detached Duplex," ₦ 20,000,000/year "," ₦ 20,000,000/year ",08144417520
Monthly Rent Finished Apartment," ₦ 250,000/month "," ₦ 250,000/month ",08144417520
Shared Apartment," ₦ 1,000,000/year "," ₦ 1,000,000/year ",08144417520
Furnished 4 Bedroom Terrace Duplex," ₦ 5,500,000/year "," ₦ 5,500,000/year ",07016249892
Room And Parlour Self Contain," ₦ 450,000/year "," ₦ 450,000/year ",07016249892
Mini Flat," ₦ 1,200,000/year "," ₦ 1,200,000/year ",09035137760
Luxury 5 Bedroom Detached House + Bq," $ 240,000/year "," $ 240,000/year ",08180249383
Luxury 2 Bedroom Apartment+bq+pool+gym," ₦ 12,000,000/year "," ₦ 12,000,000/year ",08180249383
Luxury 4 Bedroom Terrace Duplex," ₦ 18,000,000/year "," ₦ 18,000,000/year ",08124269637
4 Bedroom Terraced Duplex," ₦ 10,000,000/year "," ₦ 10,000,000/year ",08124269637
4 Bedroom Terrace Duplex," ₦ 7,500,000/year "," ₦ 7,500,000/year ",08124269637
4 Bedroom Semi Detached Duplex," ₦ 10,000,000/year "," ₦ 10,000,000/year ",09035137760
Premium 2 Bedroom Apartment + Bq," ₦ 6,000,000/year "," ₦ 6,000,000/year ",09035137760
Mini Flat," ₦ 1,000,000/year "," ₦ 1,000,000/year ",09035137760
Newly Built 2 Bedroom Flat," ₦ 4,000,000/year "," ₦ 4,000,000/year ",08124269637
4 Bedroom Fully Detached Duplex With Bq," ₦ 7,000,000/year "," ₦ 7,000,000/year ",08180249383
5 Bedroom Fully Detached Duplex," ₦ 7,000,000/year "," ₦ 7,000,000/year ",09035137760
4 Bedroom Terraced Duplex," ₦ 5,000,000/year "," ₦ 5,000,000/year ",09035137760
4 Bedroom Massionette," ₦ 12,000,000/year "," ₦ 12,000,000/year ",09035137760
5 Bedroom Detached Duplex," ₦ 25,000,000/year "," ₦ 25,000,000/year ",09035137760
4 Bedroom Terraced Duplex," ₦ 18,000,000/year "," ₦ 18,000,000/year ",09035137760
2 Bedroom Flat," ₦ 2,000,000/year "," ₦ 2,000,000/year ",09035137760
Luxury 2 Bedroom Apartment + Bq," ₦ 9,000,000/year "," ₦ 9,000,000/year ",09035137760
New 4 Bedroom Terraced Duplex + Bq," ₦ 25,000,000/year "," ₦ 25,000,000/year ",08180249383
